Sample.name.s.,Filtered.miRNA.Reads,Hairpin.miRNAs,mature.tRNA.Reads,primary.tRNA.Reads,snoRNA.Reads,rRNA.Reads,ncRNA.others,mRNA.Reads
105_S1_R1_001,16771254,1611,44435,8,5799,118695,2440296,9796
166_S4_R1_001,25629332,1367,140585,58,17365,196654,1956829,14320
144_S5_R1_001,23203639,530,38313,3,3657,64129,860468,7757
135_S7_R1_001,26188565,1172,35388,33,6284,95207,1190436,8869
128_S8_R1_001,37265549,1304,44252,79,6578,63639,1823486,8583
109_S9_R1_001,23665139,872,60970,35,15279,97105,2023232,18166
187_S10_R1_001,16840522,1475,175725,51,8213,130111,2222013,43520
125_S11_R1_001,21501577,2151,60585,23,7114,153366,1188836,17749
124_S16_R1_001,30962515,1063,53091,25,5827,97539,2452828,10310
103_S17_R1_001,26669389,1311,55217,54,6534,102306,1615731,9673
123_S20_R1_001,28199537,787,74261,39,11579,124983,1861562,14997
192_S22_R1_001,26591265,1336,69774,33,7662,152530,2809275,17733
167_S23_R1_001,34709811,6782,83663,1,41293,354879,4618107,37198
121_S24_R1_001,25977279,750,91450,44,12356,221901,2286193,17506
182_S25_R1_001,23533585,1682,61624,42,42588,249024,4978250,50162
179_S26_R1_001,22374966,2298,195719,37,9627,219316,2377119,32611
112_S27_R1_001,31939150,877,49251,20,3787,85337,2169925,10812
106_S28_R1_001,13227669,1911,101031,448,658059,932129,5678650,301256
138_S30_R1_001,33264401,1598,82021,29,12160,134487,3227008,14988
127_S29_R1_001,4185273,176,15439,10,8092,73930,1148397,5371
