NR,,,,,
,baseMean,log2FoldChange,,pvalue,padj
hsa-miR-100-5p," 1,474.78 ", 3.58 ,3.24, 0.0000 , 0.0012 
hsa-miR-125b-5p, 426.33 , 3.29 ,2.94, 0.0000 , 0.0027 
hsa-miR-146a-5p," 5,344.63 ", 1.77 ,-1.23, 0.0005 , 0.0275 
hsa-miR-146b-3p, 300.36 , 2.45 ,-0.65, 0.0001 , 0.0077 
hsa-miR-152-3p, 290.87 , 3.15 ,2.74, 0.0001 , 0.0077 
hsa-miR-193b-5p, 206.21 , 5.62 ,5.19, 0.0000 , 0.0001 
hsa-miR-335-5p, 919.96 , 1.90 ,1.62, 0.0007 , 0.0309 
hsa-miR-3677-3p, 16.05 ,-6.54,-0.44, 0.0006 , 0.0291 
hsa-miR-5588-5p, 93.25 , 5.39 ,4.73, 0.0001 , 0.0049 
CAV,,,,,
,baseMean,log2FoldChange,,pvalue,padj
hsa-miR-125b-5p,426.33,3.15,2.66,0.0002,0.0409
hsa-miR-152-3p,290.87,3.32,2.79,0.0002,0.0409
hsa-miR-193b-5p,206.21,4.38,3.64,0.0003,0.0409
hsa-miR-5588-5p,93.25,5.48,4.59,0.0002,0.0409
ACR,,,,,
,baseMean,log2FoldChange,lfcSE,pvalue,padj
hsa-miR-100-5p,1474.78,3.74,3.15,0.0002,0.0259
hsa-miR-125b-5p,426.33,3.41,2.78,0.0004,0.0358
hsa-miR-146a-5p,5344.63,2.34,2.00,0.0002,0.0259
hsa-miR-146b-3p,300.36,3.07,2.63,0.0001,0.0259
hsa-miR-193b-5p,206.21,6.27,5.57,0.0000,0.0038
hsa-miR-335-5p,919.96,2.56,2.17,0.0003,0.0259
hsa-miR-5588-5p,93.25,6.28,5.11,0.0002,0.0259
ab,,,,,
,baseMean,log2FoldChange,lfcSE,pvalue,padj
hsa-miR-100-5p,1474.78,2.80,0.32,0.0005,0.0230
hsa-miR-1468-5p,367.50,2.95,0.41,0.0002,0.0202
hsa-miR-193b-5p,206.21,4.49,2.90,0.0001,0.0127
hsa-miR-194-5p,990.59,2.62,1.63,0.0001,0.0127
hsa-miR-27a-3p-27b-3p,223176.12,2.58,1.80,0.0004,0.0216
hsa-miR-3160-3p,109.47727,-3.83,-3.11,0.0003,0.0216
hsa-miR-99a-5p,678.06,3.03,0.43,0.0004,0.0216
